Technique ID,Technique,Component,Stage,Disposition,Exact or Supporting Checks,Planned Controls,Gap or Boundary Owner,Remaining Work or Boundary,Rationale,Component Limitation,Source Version,Official Source,Claim Boundary
T-C009,CI/CD Vulnerability Exploitation,cicd,Initial Access,gap,PSB-BUILD-002-HCB-001; PSB-BUILD-002-HCB-002,,cicd-platform-security,"Add CI/CD service version and advisory inventory, patch or provider-remediation objectives, compensating isolation, and vulnerability-exploitation detection.",An approved hosted platform reduces platform risk but is not evidence that CI/CD service vulnerabilities are identified and remediated.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C010,Runner Executing Malicious Package,cicd,Discovery and Lateral Movement,implemented,PSB-DEPS-002-INS-001; PSB-DEPS-002-INS-003; PSB-BUILD-001-BLD-004,,cicd-platform-security,,Package install execution is denied or exact-artifact-only and any remaining untrusted execution occurs in an ephemeral restricted sandbox.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C011,Stealing Registry Tokens,cicd,Discovery and Lateral Movement,implemented,PSB-CONTAINER-002-REG-003; PSB-CICD-006-OIDC-006; PSB-BUILD-001-BLD-001,,cicd-platform-security,,"Registry automation uses short-lived workload identity, stored cloud credentials are absent, and untrusted builds have no credentials to steal.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C012,PR from Malicious Workflow,cicd,Discovery and Lateral Movement,implemented,PSB-CICD-005-PRB-004; PSB-CICD-005-PRB-005; PSB-CICD-004-PERM-004,,cicd-platform-security,,"A malicious workflow cannot use automatic elevation paths, and write-capable work starts only as a restricted separate trusted run.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C013,Persistence on Self-Hosted Runners,cicd,Post-Compromise,implemented,PSB-CICD-007-RNR-002; PSB-CICD-007-RNR-004; PSB-CICD-007-RNR-007,,cicd-platform-security,,"Each self-hosted runner accepts one job, starts without prior state, and is deregistered and destroyed after use.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C014,Cryptomining on Runners,cicd,Post-Compromise,implemented,PSB-CICD-007-RNR-002; PSB-CICD-007-RNR-007; PSB-CONTAINER-001-CNT-007,,cicd-platform-security,,"Single-job destruction bounds persistence and workload CPU, memory, and process consumption are explicitly limited.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C015,Harvest Secrets from Workflows Using ${{toJson(secrets)}},cicd,Discovery and Lateral Movement,gap,PSB-CICD-002-INJ-001; PSB-CICD-004-PERM-002; PSB-BUILD-001-BLD-001,,cicd-platform-security,"Reject bulk secret-context expansion such as toJson(secrets), verify log masking and artifact redaction, and test credentialed trusted-job cases.","Expression safety and credential-free untrusted jobs help, but trusted workflows can still intentionally enumerate all available secrets.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C016,Pivot from Self-Hosted VM Runner into Local Network / Cloud,cicd,Discovery and Lateral Movement,implemented,PSB-CICD-007-RNR-005; PSB-BUILD-001-BLD-003,,cicd-platform-security,,"The runner cannot reach host, management, internal, or metadata identities and build egress is default deny.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C017,Pivot from Self-Hosted Container Runner into K8s Cluster,cicd,Discovery and Lateral Movement,implemented,PSB-CICD-007-RNR-005; PSB-CONTAINER-001-CNT-005; PSB-CONTAINER-001-CNT-008,,cicd-platform-security,,"Runner access to management identities is denied and the container cannot reach host namespaces, runtime sockets, or unapproved network destinations.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C018,Data Exfiltration from CI/CD,cicd,Post-Compromise,implemented,PSB-BUILD-001-BLD-003; PSB-CICD-007-RNR-005; PSB-CICD-007-RNR-008,,cicd-platform-security,,Default-deny egress and runner network isolation constrain exfiltration while correlated security logs survive runner teardown.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C019,CI/CD Infrastructure Destruction,cicd,Post-Compromise,gap,PSB-CICD-008-CPC-004; PSB-CICD-008-CPC-005; PSB-CICD-008-CPC-007,,cicd-platform-security,"Protect CI/CD organizations, runners, variables, logs, and workflow history with destructive-action guardrails, immutable backups, and tested recovery objectives.","Privileged changes are approved and collected, but CI/CD platform destruction prevention and recovery are not verified.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C020,CI/CD Misconfiguration Exploitation,cicd,Initial Access,implemented,PSB-CICD-003-SAS-001; PSB-CICD-003-SAS-002; PSB-CICD-003-SAS-004; PSB-CICD-004-PERM-001; PSB-CICD-004-PERM-002,,cicd-platform-security,,A pinned unprivileged workflow scanner and explicit least-privilege permissions directly detect and constrain exploitable workflow misconfiguration.,"Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-C021,AI Agent Prompt Injection in Workflow,cicd,Initial Access,implemented,PSB-AI-003-AII-002; PSB-AI-003-AII-005; PSB-AI-003-AII-007; PSB-AI-003-AII-009,,cicd-platform-security,,"Untrusted workflow content cannot change instruction authority, open exfiltration paths, escape tool policy, or suppress complete fail-closed evidence.","Repository fixtures do not prove hosted-provider isolation, live credential policy, service availability, cache integrity, or fleet-wide workflow adoption.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R001,Abuse Credentials for Registry Access,registry,Initial Access,implemented,PSB-CONTAINER-002-REG-002; PSB-CONTAINER-002-REG-003; PSB-CONTAINER-002-REG-005,,artifact-registry-security,,"Registry authorization is repository- and action-scoped, automation identity is short-lived, and sensitive activity is attributable.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R002,Misconfigured / Anonymous Access,registry,Initial Access,implemented,PSB-CONTAINER-002-REG-001; PSB-CONTAINER-002-REG-002; PSB-CONTAINER-002-REG-007,,artifact-registry-security,,"Trusted transport, default-deny repository and action authorization, and fail-closed evidence directly reject anonymous or misconfigured access.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R003,Registry Vulnerability Exploitation,registry,Initial Access,gap,PSB-CONTAINER-002-REG-007; PSB-DETECT-001-DVS-001,,artifact-registry-security,"Inventory registry services and versions, track applicable vulnerabilities, verify patch deadlines or managed-service remediation, and detect exploitation attempts.","Registry evidence and scanner identity fail closed, but registry platform vulnerability management is not implemented.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R004,Publishing Malicious Package,registry,Discovery and Lateral Movement,gap,PSB-DEPS-001-COOL-004; PSB-DEPS-004-DCR-003; PSB-DEPS-004-DCR-006,,artifact-registry-security,"Add publisher-side package release authorization, signer and namespace ownership, provenance, rollback, and malicious-publication response evidence.",Consumer acquisition and review checks reduce adoption of a malicious package but do not prevent an attacker from publishing it.,"Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R005,Publishing Malicious Container/VM Image,registry,Discovery and Lateral Movement,implemented,PSB-REL-005-ASG-001; PSB-CONTAINER-002-REG-004; PSB-CONTAINER-001-CNT-001; PSB-CONTAINER-001-CNT-002,,artifact-registry-security,,"An exact image is signed, protected release references cannot be replaced, and admission binds provenance to the immutable OCI digest.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R006,Publishing Malicious IDE/Browser Extension,registry,Discovery and Lateral Movement,gap,PSB-SOURCE-001-END-011; PSB-AI-002-AID-001; PSB-AI-002-AID-002,,artifact-registry-security,"Verify extension publisher identity, signing, marketplace ownership, release authorization, revocation, and endpoint allowlisting for IDE and browser ecosystems.","Approved applications and immutable reviewed AI extensions are partial controls, not a general malicious-extension publication defense.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R007,Harvest Data from Private Artifacts,registry,Post-Compromise,gap,PSB-CONTAINER-002-REG-002; PSB-CONTAINER-002-REG-005,,artifact-registry-security,"Add private artifact read inventory, bulk-download and unusual-client detection, egress correlation, alert delivery, and response evidence.",Scoped authorization and audit attribution constrain reads but do not detect an authorized session harvesting large private artifact sets.,"Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R008,Malicious Images Hosting,registry,Post-Compromise,implemented,PSB-CONTAINER-001-CNT-001; PSB-CONTAINER-001-CNT-002; PSB-REL-001-REL-001; PSB-REL-001-REL-002,,artifact-registry-security,,Hosted malicious images cannot enter the trusted path unless their exact digest has authentic matching provenance and signature evidence.,"Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R009,Registry Infrastructure Destruction,registry,Post-Compromise,gap,PSB-CONTAINER-002-REG-004; PSB-CONTAINER-002-REG-005,,artifact-registry-security,"Protect registry control planes, metadata, blobs, and keys with deletion guardrails, immutable replication, alerting, and tested disaster recovery.","Protected release references and audit records help, but complete registry infrastructure destruction and recovery remain unverified.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R010,Typosquatting,registry,Initial Access,implemented,PSB-DEPS-001-COOL-001; PSB-DEPS-001-COOL-004; PSB-DEPS-004-DCR-003,,artifact-registry-security,,"Approved registry origin, exact package identity, focused review, and release cooldown directly reduce typosquatting adoption.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R011,Namespace/Dependency Confusion,registry,Initial Access,implemented,PSB-DEPS-003-LOCK-002; PSB-DEPS-003-LOCK-003; PSB-DEPS-001-COOL-007,,artifact-registry-security,,The dependency origin is bound to a mandatory managed proxy and the exact acquired artifact must match the frozen lockfile digest.,"Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R012,Package Lifecycle Script Abuse,registry,Discovery and Lateral Movement,implemented,PSB-DEPS-002-INS-001; PSB-DEPS-002-INS-002; PSB-DEPS-002-INS-003; PSB-DEPS-002-INS-004,,artifact-registry-security,,"Lifecycle scripts and source builds are denied by default and any exception is narrow, reviewed, and fail closed.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-R013,Version String Impersonation,registry,Discovery and Lateral Movement,implemented,PSB-DEPS-004-DCR-003; PSB-DEPS-003-LOCK-003; PSB-REL-001-REL-001,,artifact-registry-security,,"Exact versions are resolved to immutable sources and artifact digests, so a display version cannot substitute different bytes.","Consumer-side verification does not prevent all malicious publication, prove live registry patching, or establish backup and disaster-recovery readiness.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P001,Abuse Production Credentials from CI/CD,production,Initial Access,implemented,PSB-CICD-006-OIDC-002; PSB-CICD-006-OIDC-003; PSB-CICD-006-OIDC-006; PSB-CICD-006-OIDC-007,,cloud-platform-security,,"Production authority is issued only from exact workflow claims as a short-lived least-privilege credential, with stored cloud credentials absent.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P002,Malicious Deployment via Compromised Pipeline,production,Discovery and Lateral Movement,implemented,PSB-BUILD-001-BLD-002; PSB-CICD-004-PERM-004; PSB-CICD-006-OIDC-005; PSB-CONTAINER-001-CNT-002,,cloud-platform-security,,"Build and deploy authority are separated, privileged deployment is protected, and admission binds authentic provenance to the exact artifact.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P003,Pivot from Self-Hosted Runner to Production Network,production,Discovery and Lateral Movement,implemented,PSB-CICD-007-RNR-005; PSB-BUILD-001-BLD-003,,cloud-platform-security,,"Self-hosted runners cannot reach internal, management, host, or metadata identities and untrusted build egress is default deny.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P004,Container Image Poisoning to Production,production,Discovery and Lateral Movement,implemented,PSB-CONTAINER-001-CNT-001; PSB-CONTAINER-001-CNT-002; PSB-CONTAINER-001-CNT-009,,cloud-platform-security,,Production admission accepts only the exact trusted OCI digest with matching authentic provenance and fails closed on create or update.,"Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P005,Infrastructure-as-Code Manipulation,production,Discovery and Lateral Movement,implemented,PSB-IAC-001-IAC-001; PSB-IAC-001-IAC-004; PSB-IAC-001-IAC-008; PSB-IAC-001-IAC-009,,cloud-platform-security,,"Approved immutable modules, resolved-plan policy, provider-side bypass enforcement, and continuous drift checks directly constrain IaC manipulation.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P006,Kubernetes Service Account Token Theft,production,Discovery and Lateral Movement,gap,PSB-CONTAINER-001-CNT-008; PSB-CONTAINER-004-RTD-006,,cloud-platform-security,"Disable unnecessary token automount, use bound short-lived service-account tokens, constrain RBAC and audience, and detect token file access and reuse.","Network isolation and sensitive-boundary detection help, but service-account token issuance, mounting, and theft are not directly verified.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P007,Cloud Metadata Service Exploitation,production,Discovery and Lateral Movement,gap,PSB-CONTAINER-001-CNT-008; PSB-CONTAINER-004-RTD-007,,cloud-platform-security,Enforce workload-specific metadata denial or authenticated metadata access for IPv4 and IPv6 endpoints and verify live bypass-resistant telemetry.,"Default-deny egress and denied-destination detection are relevant, but production metadata service access is not explicitly tested.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P008,Kubernetes Pod Escape,production,Discovery and Lateral Movement,implemented,PSB-CONTAINER-001-CNT-003; PSB-CONTAINER-001-CNT-004; PSB-CONTAINER-001-CNT-005; PSB-CONTAINER-001-CNT-006; PSB-CONTAINER-004-RTD-005,,cloud-platform-security,,"Non-root execution, dropped capabilities, host isolation, seccomp, read-only filesystems, and runtime escalation detection directly constrain pod escape.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P009,Cloud Service Lateral Movement,production,Discovery and Lateral Movement,gap,PSB-IAC-001-IAC-003; PSB-CONTAINER-001-CNT-008,,cloud-platform-security,"Model and verify cloud-service identity edges, resource policies, cross-account trust, token exchange, and anomalous service-to-service access.",Private administration and workload network policy constrain paths but do not cover cloud control-plane lateral movement across services.,"Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P010,Network Lateral Movement Within Production,production,Discovery and Lateral Movement,implemented,PSB-CONTAINER-001-CNT-008; PSB-CONTAINER-004-RTD-007; PSB-CONTAINER-004-RTD-010,,cloud-platform-security,,Default-deny workload networking is enforced and denied listeners or destinations produce alerts delivered to an owned receiver.,"Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P011,Steal Secrets from Production Environment,production,Post-Compromise,gap,PSB-CONTAINER-004-RTD-006; PSB-CICD-006-OIDC-007,,cloud-platform-security,"Inventory production secrets, minimize workload access, use short-lived workload identity, detect read and export behavior, and test revocation.","Runtime sensitive-boundary detection and least-privilege deployment identity are partial controls, not production secret theft prevention.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P012,Production Infrastructure Reconnaissance,production,Discovery and Lateral Movement,gap,PSB-IAC-001-IAC-009; PSB-CONTAINER-004-RTD-002,,cloud-platform-security,"Detect enumeration of cloud, Kubernetes, service-discovery, identity, and network resources and correlate it to exact workload identity.","Drift and workload identity exist, but reconnaissance actions are not currently modeled or asserted.","Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-P013,Data Exfiltration from Production,production,Post-Compromise,gap,PSB-CONTAINER-001-CNT-008; PSB-CONTAINER-004-RTD-007; PSB-CONTAINER-004-RTD-010,,cloud-platform-security,"Add production data classification, destination- and volume-aware egress policy, DLP, alerting, and tested containment across non-container services.",Container egress denial and alerts reduce one route but do not establish production-wide data exfiltration prevention.,"Local policies and fixtures do not prove live cloud authorization, production inventory completeness, data-plane DLP, sensor health, or disaster recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
